id,type,data,selected,parent_id,branch_level,child_id,child_index,palette_id,ch_input_id,ch_output_id,ch_last_updated,average,samples,aux_a_x,aux_a_y,aux_a_z,aux_b_x,aux_b_y,aux_b_z,color_shift,rotate_vec_x,rotate_vec_y,rotate_vec_z,rotate_vec_s,scale_x,scale_y,scale_z,translate_x,translate_y,translate_z,tag_offset_x,tag_offset_y,tag_offset_z,rotate_rate_x,rotate_rate_y,rotate_rate_z,rotate_x,rotate_y,rotate_z,scale_rate_x,scale_rate_y,scale_rate_z,translate_rate_x,translate_rate_y,translate_rate_z,translate_vec_x,translate_vec_y,translate_vec_z,shader,geometry,line_width,point_size,ratio,color_index,color_r,color_g,color_b,color_a,color_fade,texture_id,hide,freeze,topo,facet,auto_zoom_x,auto_zoom_y,auto_zoom_z,trigger_hi_x,trigger_hi_y,trigger_hi_z,trigger_lo_x,trigger_lo_y,trigger_lo_z,set_hi_x,set_hi_y,set_hi_z,set_lo_x,set_lo_y,set_lo_z,proximity_x,proximity_y,proximity_z,proximity_mode_x,proximity_mode_y,proximity_mode_z,segments_x,segments_y,segments_z,tag_mode,format_id,table_id,record_id,size
1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,50,101,101,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,16,16,0,0,0,0,0,420
2,1,2,0,0,0,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.008645,0.825266,-0.564678,1.0,1.0,1.0,-32.446629,-180.908295,143.514175,0.0,0.0,1.0,0,0,0,55.620094,0.6002,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,50,101,101,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.306686,0.0,0.0,0,0,0,16,16,0,0,0,0,0,420
3,1,3,0,2,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,-0.5,0.0,571.75,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,50,101,101,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,16,16,0,0,0,0,0,420
4,1,4,0,2,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1.0,-0.0,1.0,1.0,1.0,0.0,-90.0,7.0,0.0,0.0,1.0,0,0,0,90.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,50,101,101,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,16,16,0,0,0,0,0,420
5,1,5,0,2,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,-1.0,-0.0,-0.0,1.0,1.0,1.0,85.0,0.0,7.0,0.0,0.0,1.0,0,0,0,90.0,270.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,50,101,101,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,16,16,0,0,0,0,0,420
6,6,6,1,0,0,0,1,0,0,0,0,0,1,360,220,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,3,0,0,255,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,420
8,5,8,0,0,1,0,0,0,0,0,0,0,1,30,30,30,0,0,0,0,0.0,1.0,0.0,0.0,2.1317459999999997,2.1317459999999997,4.922507,0,0.0,2.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,19,1,0,0.1,0,250,250,250,50,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,12,6,0,0,0,0,8,420
9,5,9,0,0,1,0,0,0,0,0,0,0,1,30,30,30,0,0,0,0,0.0,1.0,0.0,0.0,3.309246,3.309246,3.309246,0.0,0.0,9.62707,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,1,0,0.6265,0,250,250,250,25,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,12,6,0,0,0,0,9,420
10,7,10,0,9,2,8,0,0,0,0,0,0,1,30,30,30,0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,19,1,0,0.1,0,250,250,250,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,12,6,0,0,0,0,10,420
11,5,11,0,0,1,0,0,0,0,0,0,0,1,30,30,30,0,0,0,0,0.0,0.0,0.0,1.0,2.3,2.3,2.3,0.0,0.0,3.0,0.0,0.0,5.5,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16,1,0,0.1,0,50,101,101,255,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,12,6,0,2,0,0,11,420
